PMID,标题,摘要,关键词,主题词,期刊,年份
41861520,Clinical characteristics and molecular epidemiology of KPC-NDM co-producing carbapenem-resistant Klebsiella pneumoniae in China: a multicentre retrospective case-control study.,,CRKP; Dual carbapenemase; KPC; NDM; Risk factor,,EBioMedicine,2026
41861416,Research progress on ROS-responsive hydrogels for the treatment of osteoporosis: a review.,"Reactive oxygen species (ROS) play a dual role in both physiological and pathological processes, with increased levels being implicated in the pathogenesis of various diseases. ROS-responsive hydrogels, characterized by their hydrophilicity, softness, and superior biocompatibility, have emerged as promising smart materials for targeted therapeutic applications with minimized side effects. Osteoporosis, characterized by decreased bone mass and structural deterioration, is closely associated with oxidative stress and can be classified into two types: primary osteoporosis and secondary osteoporosis. This review provides a comprehensive overview of the principal methods for crosslinking ROS-responsive hydrogels, encompassing physical, chemical, and biological crosslinking approaches, and summarized their delivery strategies as well as modifications designed to enhance targeting selectivity. Additionally, one of their significant biological applications, namely wound healing was discussed. Finally, the therapeutic applications of ROS-responsive hydrogels in both primary and secondary osteoporosis were systematically reviewed. For primary osteoporosis, the discussion was structured according to the pathological timeline of disease progression. And the secondary osteoporosis part was addressed through representative examples-diabetes-related osteoporosis, periodontitis-related osteoporosis, and glucocorticoid-induced osteoporosis-with a focus on their distinct pathogenic mechanisms. By providing a comprehensive overview, this review aims to deepen the understanding of ROS-responsive hydrogels in osteoporosis therapy, while encouraging further research into intelligent and stimuli-responsive biomaterials.",ROS; ROS-responsiveness; bone; hydrogel; osteoporosis,,"Biomedical materials (Bristol, England)",2026
41861214,Serum uric acid to HDL-cholesterol ratio predicts all-cause mortality in cancer patients based on NHANES data.,"This study explores the relationship between serum uric acid to high-density lipoprotein-cholesterol ratio (UHR) and all-cause mortality among US cancer patients. Data from the 2005 to 2018 National Health and Nutrition Examination Survey, linked to National Death Index records until December 31, 2019, are analyzed. To investigate the relationship between UHR and mortality, multivariate Cox proportional hazards models are utilized. Kaplan-Meier curves compare survival across UHR quartiles, while the restricted cubic spline approach evaluates dose-response relationships. Subgroup analyses consider age, gender, diabetes, hypertension, body mass index, and income-to-poverty ratio, with stratified analyses by cancer type. Two sensitivity analyses exclude participants under 65 and those with multiple cancers. During the 81.0-month follow-up period, the all-cause mortality rate is 15.6%. Cancer patients in the top quartile group have a significantly increased mortality risk (hazard ratio: 1.43, 95% confidence interval: 1.07-1.93). Kaplan-Meier survival analysis links higher UHR to reduced survival. This association is nonlinear and more pronounced in those aged ≥ 65, males, and individuals with diabetes or hypertension. Stratified analyses reveal a significant link in breast, colorectal, and prostate cancers. UHR may serve as a valuable predictor of all-cause mortality among individuals with cancer.",HDL-cholesterol ratio; NHANES; all-cause mortality; cancer; serum uric acid,,Medicine,2026
41861211,Association of gestational diabetes mellitus with intrahepatic cholestasis of pregnancy: A 2-sample Mendelian randomization analysis utilizing FinnGen consortium data.,"Gestational diabetes mellitus (GDM) is a common metabolic disorder during pregnancy and a significant risk factor for maternal and neonatal complications. Although management strategies have improved, early identification of high-risk cases remains challenging. This study aimed to clarify whether GDM exerts a causal effect on intrahepatic cholestasis of pregnancy (ICP), a hepatic disorder associated with adverse perinatal outcomes. We performed a 2-sample Mendelian randomization (MR) analysis using summary data from the genome-wide association study of the FinnGen consortium. Genetic variants strongly associated with GDM at a predefined significance threshold (P < 5 × 10-6) were selected as instrumental variables. Linkage disequilibrium clumping was applied (r2< 0.001, 10,000 kb window), and weak instruments with F < 10 were excluded. Multiple MR approaches, including inverse variance weighted, weighted median, MR-Egger, and Mendelian Randomization Pleiotropy RESidual Sum and Outlier, were employed to ensure robustness. Inverse variance weighted analysis demonstrated a significant causal association between genetically predicted GDM and ICP (odds ratio [OR] = 1.30, 95% confidence interval [CI] 1.08-1.56, P = .005). The weighted median method yielded similar results (OR = 1.36, 95% CI 1.06-1.74, P = .014). Sensitivity analyses showed no evidence of heterogeneity or horizontal pleiotropy, and the MR-Steiger test confirmed the direction of causality from GDM to ICP. These findings provide genetic evidence supporting a causal effect of GDM on ICP risk and suggest that women with GDM may benefit from closer monitoring of liver function and bile acid levels during pregnancy.",FinnGen; Mendelian randomization; causal inference; genetic epidemiology; gestational diabetes mellitus; intrahepatic cholestasis of pregnancy,,Medicine,2026
41861203,Association between statin use and major adverse cardiovascular events in patients with chronic kidney disease and cardiomyopathy: A retrospective case-control study.,"This study aimed to investigate the association between statin use and the risk of major adverse cardiovascular events (MACE) among patients with chronic kidney disease (CKD) complicated by cardiomyopathy, and to further evaluate the effects of different statin doses and types on cardiovascular outcomes. This single-center retrospective case-control study included 765 patients with CKD and cardiomyopathy hospitalized between January 2016 and February 2025. Patients were categorized according to statin exposure and atorvastatin-equivalent doses. Multivariable logistic regression and subgroup analyses were performed to evaluate the association between statin use and MACE, adjusting for demographic, clinical, and laboratory confounders. A total of 765 eligible patients with CKD and cardiomyopathy were included, comprising 255 cases and 510 controls. Overall, the prevalence of statin use was 59.6%, which was significantly lower in the case group than in controls (48.2% vs 65.3%, P <.001). Univariate analysis showed that statin use was significantly associated with a reduced risk of MACE (unadjusted odds ratio = 0.52, 95% CI: 0.38-0.70, P <.001). Dose-response analysis revealed that the incidence of MACE decreased progressively across nonuser, low-to-moderate, and high-dose groups (41.1% vs 28.7% vs 20.2%, P for trend = .002). In multivariable logistic regression adjusting for age, sex, body mass index, diabetes and hypertension control, estimated glomerular filtration rate (eGFR), and β-blocker use, regular statin therapy remained independently associated with lower MACE risk, with the strongest benefit observed in the high-dose group (adjusted odds ratio = 0.47, 95% CI: 0.31-0.72, P = .001). Subgroup analyses demonstrated consistent protective effects of statin therapy across CKD stages and cardiomyopathy etiologies (ischemic vs nonnon; P for interaction >.05). In patients with CKD and cardiomyopathy, regular statin therapy significantly reduces the incidence of MACE in a dose-dependent manner. The cardioprotective effect remains consistent across different CKD stages and cardiomyopathy etiologies. Statin treatment is generally well tolerated, with only mild, reversible elevations in liver enzymes or muscle enzymes and no serious adverse reactions.",cardiomyopathy; chronic kidney disease; major adverse cardiovascular events; retrospective study; statins,,Medicine,2026
41861176,Factors influencing corneal edema after phacoemulsification combined with intraocular lens implantation in elderly diabetic cataract patients and establishment of a predictive model.,"This study aimed to explore the factors influencing corneal edema after phacoemulsification combined with intraocular lens implantation in elderly diabetic cataract (DC) patients and to establish a predictive model. A retrospective analysis was conducted on 300 DC patients who underwent phacoemulsification combined with intraocular lens implantation in our hospital between June 2022 and October 2023. Patients were randomly divided into a modeling group (n = 210) and a validation group (n = 90) in a 7:3 ratio. The modeling group was further divided into corneal-edema group (n = 57) and non-corneal-dema group (n = 153) based on the occurrence of postoperative corneal edema. Univariate and binary logistics regression analyses were employed to identify the influencing factors of postoperative corneal edema in DC patients. A predictive model was constructed using SPSS, and the model's application value was evaluated using receiver operating characteristic curve, calibration curve, and decision curve analysis in R language. There were no statistically significant differences in terms of general information between the modeling group and validation group (P > .05). Significant differences were observed in the comparison of diabetes duration, preoperative endothelial cell density, postoperative corneal endothelial cell loss, hypertension, surgery duration, and age between the corneal-edema group and non-corneal-edema group (P < .05). The results of binary logistics regression analysis showed that diabetes duration, preoperative endothelial cell density, postoperative corneal endothelial cell loss, hypertension, surgery duration, and age were influencing factors for postoperative corneal edema in DC patients (P < .05). The calibration curves of the model in the modeling group and validation group exhibited a slope close to 1, showing good consistency between predicted and actual risks. Receiver operating characteristic analysis results indicated an area under the curve of 0.96 and a standard error of 0.021 (95% confidence interval: 0.872-0.994) in the modeling group and an area under the curve of 0.94 and a standard error of 0.024 (95% confidence interval: 0.867-0.966) in the validation group. Decision curve analysis curve analysis demonstrated that the model had good application efficacy and clinical benefits in both groups. The predictive model based on influencing factors demonstrated good predictive performance and warrants further validation.",corneal edema; diabetic cataract; elderly; intraocular lens implantation; phacoemulsification,,Medicine,2026
41861164,Clinical evaluation of Dachai Wendan Decoction in the treatment of metabolic syndrome induced by atypical antipsychotics: A retrospective study.,"This retrospective study evaluated the clinical effectiveness and safety of Dachai Wendan Decoction (DWD) in combination with standard Western Medicine (WM) for the management of metabolic syndrome (MetS) induced by atypical antipsychotic medications. A total of 107 patients diagnosed with schizophrenia according to the International Classification of Diseases, Tenth Revision, and fulfilling the International Diabetes Federation criteria for MetS, were included between January 2020 and December 2024. Patients were allocated to either the WM group (n = 56) or the integrative medicine group receiving DWD in addition to WM (DWD + WM, n = 51). After 8 weeks of treatment, the remission rate of MetS was significantly higher in the DWD + WM group (47.1%) compared with the WM group (25.0%, P = .02). The DWD + WM group demonstrated greater reductions in body weight, body mass index, waist circumference, and blood pressure. Improvements in lipid metabolism were also more pronounced, with greater decreases in triglycerides, total cholesterol, and low-density lipoprotein cholesterol, alongside an increase in high-density lipoprotein cholesterol. Glycemic control, reflected by fasting plasma glucose and glycated hemoglobin, also improved significantly. Psychiatric symptoms remained stable in both groups, with no dosage adjustments of antipsychotics required. Both treatments were well tolerated, and the incidence of adverse events was low and comparable. These findings indicate that adjunctive therapy with DWD is a safe and effective strategy to improve metabolic outcomes in patients with antipsychotic-induced MetS.",Dachai Wendan Decoction; atypical antipsychotics; complementary and integrative medicine; metabolic syndrome; schizophrenia,,Medicine,2026
41861162,The impact of preoperative psychological status on postoperative stress responses in patients undergoing dynamic hip screw fixation.,"This study investigates the psychological status of patients before undergoing dynamic hip screw fixation and analyzes the association between the preoperative psychological status and the occurrence of postoperative stress responses. A retrospective study was conducted on all patients who underwent dynamic hip screw fixation for intertrochanteric femoral fractures between January 2022 and March 2024. Baseline data, preoperative psychological status, and perioperative information were collected. Univariate and multivariate logistic regression analyses were performed to identify risk factors for postoperative stress responses following dynamic hip screw fixation. Postoperative stress occurred in 16.07% (9/56) of patients who underwent dynamic hip screw fixation. In the postoperative stress group, diabetes (P = .006) and preoperative psychological status (P = .001) showed statistically significant differences compared to the non-stress group. Univariate logistic regression analysis identified diabetes (P = .011) and preoperative psychological status (P = .001) as risk factors for postoperative stress. Multivariate regression analysis revealed that preoperative psychological status (P = .001) was an independent risk factor for the development of postoperative stress responses. Preoperative psychological status is an independent risk factor for postoperative stress following dynamic hip screw fixation responses.",dynamic hip screw fixation; preoperative psychological status; risk factors; stress response,,Medicine,2026
41861130,Redefining Diabetes and Creating Solutions-The Hong Kong Diabetes Register: Kelly West Award Lecture 2025.,"Variations of disease patterns among populations, geographies, and time periods underpin the use of descriptive and analytical cohort analysis to define causal relationships between exposures and outcomes. This epidemiological knowledge forms the basis for designing clinical experiments to inform practice and policies. In the 1990s, rapid environmental and lifestyle changes among Chinese living in Hong Kong led to a rising prevalence of diabetes. The benefits of structured care in a clinical trial setting motivated the establishment of the Hong Kong Diabetes Register (HKDR) in 1995 as a data-driven quality improvement program accompanied by a biobank. Systematic data collection and analysis revealed the Asian diabetes phenotype characterized by young age at diagnosis, moderately increased BMI, visceral fat excess, and propensity for chronic kidney disease. In 2000, the HKDR protocol was incorporated into the territory-wide electronic medical record (EMR) system with setup of diabetes centers/teams for implementation. This 2-yearly Risk Assessment and Management Programme for Diabetes Mellitus (RAMP-DM) contributed to marked decline in diabetes-related complication and death rates. In 2007, the HKDR and its equations were digitalized to become the first web-based Joint Asia Diabetes Evaluation (JADE) platform for risk stratification and personalized reporting with decision support aimed at closing care gaps in Asia. The HKDR with its multidimensional data provides the fulcrum for building capacity to transform care and discover knowledge, including on the vulnerability, multiple hits, and reduced capacity of β-cells underlying young-onset diabetes. Using well-designed registers and biobanks to redefine diabetes can lead to innovative diabetes prediction, prevention, classification, and treatment with value, quality, and precision.",,,Diabetes care,2026
41861108,Safety Assessment of Glucagon-Like Peptide 1 Receptor Agonists Based on the FAERS Database: Focus on Tumorigenic Risk in Subpopulations.,"GLP-1 receptor agonists (GLP-1RAs) are extensively used in treating Type 2 diabetes due to their therapeutic benefits. However, clinical reports have highlighted adverse events, particularly the underexplored association with tumor development. This study investigates GLP-1RA-related adverse events, focusing on tumorigenic risks, using data from the FDA Adverse Event Reporting System (FAERS). FAERS data from Q1 2005 to Q4 2023 were analyzed using the proportional reporting ratio (PRR) method to identify GLP-1RA-associated adverse events. Detailed analyses examined event distribution across genders, ages, and body weights, with an emphasis on tumor-related risks in vulnerable subpopulations. A total of 195,250 GLP-1RA-related adverse event reports were identified, spanning 25 system organ classes (SOCs). The most reported SOCs were gastrointestinal disorders (n = 110,451, PRR 2.44), investigative findings (n = 80,126, PRR 2.46), and metabolism and nutrition disorders (n = 25,236, PRR 2.21). Notably, 7457 cases involved benign, malignant, and unspecified tumors (PRR 0.5). Further analysis revealed that the risk of GLP-1RA-associated tumorigenesis varied by age, sex, and weight, suggesting that tumorigenesis risk differed in specific subpopulations. These findings underscore the need for vigilance regarding GLP-1RA-related adverse events, particularly tumor risks in specific subgroups. Clinicians should consider patient-specific factors, such as age, gender, and body weight, to ensure safe and effective GLP-1RAs therapy.",FAERS; adverse drug events; glucagon-like peptide 1 receptor agonists; real-world data analysis; tumor-related risks,,Journal of diabetes research,2026
41860942,Cancer risk associated with DPP4 inhibitors in type 2 diabetes: A pharmacovigilance analysis of the FDA Adverse Event Reporting System (FAERS).,,,,PloS one,2026
41860875,The triglyceride-glucose index and neutrophil-to-lymphocyte ratio jointly predict the no-reflow phenomenon in T2DM patients with STEMI after primary PCI.,,,,PloS one,2026
41860839,Impact of contralateral sensorineural hearing loss on prognosis in idiopathic sudden sensorineural hearing loss.,,,,PloS one,2026
41860827,From medicine price control to deregulation: assessing policy effects on insulin access in Pakistan's private pharmacies.,,,,PloS one,2026
41860757,Exploration of a Multimodal Machine Learning Model Integrating Ultrasound and Clinical Indicators for the Diagnosis of Diabetic Peripheral Neuropathy.,,diabetes mellitus; diabetic peripheral neuropathy; machine learning model; ultrasonography,,Journal of ultrasound in medicine : official journal of the American Institute of Ultrasound in Medicine,2026
41860432,Diabetes Mellitus Attenuates Response to Anti-CD20 Therapy in Primary Membranous Nephropathy Despite Equivalent B-Cell Depletion.,,Anti-CD20 Antibody; Diabetes Mellitus; Membranous Nephropathy,,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",2026
41860163,Consequences of CRISPR-Cas9-Mediated Stromelysin-1 Knockout in Pancreatic Islet Microvascular Endothelial Cells.,"The integrity of the pancreatic islet microvasculature is critical for endocrine function, yet it is progressively compromised by glucotoxicity in diabetes. While matrix metalloproteinases are implicated, the role of stromelysin-1 as a potential upstream driver of endothelial dysfunction remains poorly defined. The aim of our study was to elucidate the role of stromelysin-1 in mediating glucotoxic injury to islet microvascular endothelial cells (IMECs). To this end, we employed a CRISPR/Cas9-mediated knockout of stromelysin-1 in IMECs. Cellular functions, including proliferation, migration, and angiogenesis, were assessed using IncuCyte ZOOM live-cell imaging, while endothelial barrier integrity was quantified via a 40 kDa dextran flux assay. Additionally, the secretome was profiled using a cytokine antibody array. We found that genetic ablation of stromelysin-1 conferred protection against glucotoxicity. Stromelysin-1 KO IMECs exhibited significantly enhanced proliferation, migration, and angiogenic capacity compared to wild-type controls. Furthermore, stromelysin-1 deficiency restored endothelial monolayer integrity by attenuating high-glucose-induced hyperpermeability. These functional improvements were linked to a remodelling of the secretome, characterised by decreased secretion of the pro-degradative MMP-2 and increased secretion of the anti-inflammatory cytokine IL-10 and the endogenous inhibitor TIMP-2. Overall, our findings establish stromelysin-1 as a crucial mediator of glucotoxic injury in islet microvascular endothelial cells.",endothelial dysfunction; glucotoxicity; islet microvascular endothelial cells; secretome; stromelysin‐1,,Journal of cellular and molecular medicine,2026
41860159,Optimization Strategies of Polymeric Hydrogels and Decellularized Extracellular Matrices for Diabetic Chronic Wound Healing.,"The treatment of chronic wounds in diabetes represents a significant challenge in the biomedical field. This review summarizes the application of three categories of biomaterials in this area: natural polymeric materials (gelatin, alginates, hyaluronic acid, chitosan), synthetic polymeric materials (polyvinyl alcohol, polydopamine), and decellularized matrices (dECM). It elucidates the characteristics, biological functions targeting chronic diabetic wounds, optimization strategies, current challenges, and future research directions for each material category. Specific optimization approaches include chemical modification and active substance loading for natural polymers, composite formation and functional regulation for synthetic polymers, and the preparation and application of dECM. It also highlights current limitations such as low mechanical strength, suboptimal degradation rates, and insufficient long-term safety data. Future directions include smart responsive dressings, integration with novel therapeutic approaches, and personalized dECM design.",decellularized matrix; diabetic chronic wounds; natural polymers; optimization strategy; synthetic polymers,,Biotechnology journal,2026
41860052,Epigenetic regulation in a high-sugar environment (Review).,"The prevalence of diabetes and its complications has become a major global health challenge, with its pathological process closely linked to the phenomenon of 'metabolic memory' induced by persistent hyperglycemia. Epigenetic regulation is recognized as the core molecular mechanism underpinning this process. The present review systematically elucidated how the hyperglycemic microenvironment profoundly regulates cellular functions and drives the onset and progression of diabetes and its vascular complications by reprogramming three major epigenetic pathways: DNA methylation, histone modifications and non‑coding RNA expression. The present review elaborated in detail how high glucose induces alterations in the DNA methylation status of specific genes (such as PDX1 and CXCR4) within key target cells including pancreatic β‑cells, hepatocytes, muscle cells and adipocytes; how it modulates multiple histone modifications, including emerging histone lactylation (such as H3K18la), thereby directly activating pathogenic gene transcription; and how it disrupts non‑coding) RNA networks (such as long non‑coding RNA MALAT1 and microRNA 21) to mediate inflammation, oxidative stress and fibrosis by interfering with signaling pathways such as PI3K/Akt and TGF‑β. Furthermore, the present review specifically emphasized the cellular and tissue specificity of high‑glucose‑induced epigenetic regulation, thereby elucidating its unique mode of action in specific complications such as diabetic nephropathy and cardiovascular disease. Finally, the present review considered the substantial potential of targeting key epigenetic enzymes (such as DNA methyltransferases, histone deacetylases) or using epigenetic markers as biomarkers and novel therapeutic strategies. This provides a conceptual framework and directions for ultimately 'eradicating' metabolic memory and achieving precise prevention and treatment of diabetes and its complications.",DNA methylation; diabetic complications; epigenetics; histone modifications; hyperglycemia; non‑coding RNA,,International journal of molecular medicine,2026
41860020,Correlation of Thyroid Hormone Levels and Sensitivity With Metabolic Syndrome in Older Adults.,,hormone sensitivity; metabolic syndrome; older adults; thyroid hormone,,Journal of diabetes,2026
41859658,"The roles of folate, MTHFR genetics, vitamin B12 in pregnancy outcomes.","Folate is essential for fetal development, and periconceptional folic acid (FA) supplementation is well-established for preventing neural tube defects. However, evidence regarding its role in other pregnancy outcomes, such as gestational diabetes mellitus, hypertensive disorders of pregnancy, fetal growth, miscarriage, and preterm birth, remains inconsistent. Current knowledge indicates that the effects of FA are not uniform but significantly influenced by the timing, dose, and duration of supplementation, frequently exhibiting U-shaped or timing-dependent relationships. Furthermore, methylenetetrahydrofolate reductase (MTHFR) genetic polymorphisms and vitamin B12 levels are critical modifiers of folate metabolism and its association with pregnancy outcomes. Crucially, there is a lack of quantitative studies linking circulating folate levels to the risk of adverse outcomes, and no optimal threshold range has been established to balance the prevention of different complications. This review consolidates the existing evidence on the associations between FA supplementation, circulating folate levels, and non-structural pregnancy outcomes, while elucidating the modulating roles of MTHFR genetics and vitamin B12. Besides, it highlights possible underlying biological mechanism of hyperhomocysteinemia, alterations in DNA methylation, the presence of folate receptor antibody (FRAbs), and the direct anti-inflammatory effects of folate. This review aims to provide a foundation for a future precision nutrition strategy through individual physiological folate levels, MTHFR genetics, and vitamin B12 status.",Hcy; MTHFR; folate; pregnancy outcomes; vitamin B12,,Frontiers in nutrition,2026
41859543,Association of the triglyceride-glucose index with carotid intima-media thickness in type 2 diabetes: effect modification by age and albuminuria-a retrospective cross-sectional study.,,TyG index; age; albumin- to-creatinine ratio (ACR); carotid intima-media thickness (IMT); hyperinsulinemia; insulin resistance; type 2 diabetes,,Frontiers in cardiovascular medicine,2026
41859532,Impact of Diversified High-Quality Nursing on Postpartum Maternal-Infant Care in Gestational Diabetes Mellitus Patients.,,gestational diabetes mellitus; high-quality nursing; maternal and infant conditions; postpartum care,,Journal of multidisciplinary healthcare,2026
41859415,The effect of receptive music therapy plus usual nursing care on cognitive performance and quality of life in elderly patients with type 2 diabetes mellitus and cognitive impairment.,,cognitive impairment; depression; nursing intervention; quality of life; receptive music therapy; type 2 diabetes mellitus,,Frontiers in neurology,2026
41859306,Hematoma Capsule Spanning the Sylvian Fissure and Non-Blocking the Middle Meningeal Artery During Surgery Are Associated With Postoperative Recurrence of Chronic Subdural Hematoma.,,chronic subdural hematoma; neuroendoscopy; prognosis; recurrence; surgery,,International journal of general medicine,2026
41859305,Development of a Clinical Prediction Model for Ultra-Early Mild Acute Ischemic Stroke with Negative CT Results.,,AIS; TIA; acute ischemic stroke; clinical prediction model; early diagnosis; serum markers; transient ischemic attack,,International journal of general medicine,2026
41859200,Impact of the Charlson Comorbidity Index on the Short-Term and Long-Term Prognoses of Patients with Coronary Artery Disease Undergoing Percutaneous Coronary Intervention.,,Charlson comorbidity index; coronary artery disease; in-hospital adverse events; major adverse cardiovascular and cerebrovascular events; percutaneous coronary intervention; prognostic evaluation,,Therapeutics and clinical risk management,2026
41859166,Development and validation of a nomogram prediction model for cardiovascular comorbidities in COPD patients based on hypertension.,,cardiovascular disease; chronic obstructive pulmonary disease; hypertension; nomogram; risk prediction,,Frontiers in medicine,2026
41859062,Necrotizing Soft Tissue Infection Caused by <i>Klebsiella pneumoniae</i> After Intra-Articular Injection: A Case Report and Literature Review.,,Klebsiella pneumoniae; diabetes mellitus; intra-articular injection; necrotizing soft tissue infection,,Infection and drug resistance,2026
41859061,Primary Cutaneous Aspergillosis Due to <i>Aspergillus flavus</i> in an Immunocompetent Patient.,"Invasive aspergillosis is a life-threatening infection caused by <i>Aspergillus</i> species, affecting the lungs, central nervous system, nasal and orbital regions, and skin. Primary cutaneous aspergillosis (PCA) occurs through direct skin inoculation via trauma, burns, or surgical wounds, with <i>Aspergillus fumigatus, Aspergillus flavus</i>, and <i>Aspergillus niger</i> as common causative species, and is rare in immunocompetent individuals. We report a case of PCA in a 56-year-old immunocompetent patient with facial and right ankle ulcers, persisting for two years. The patient had no history of diabetes, corticosteroid use, or immunodeficiency. Fungal culture and metagenomic next-generation sequencing (mNGS) confirmed <i>A. flavus</i> infection. Voriconazole therapy, surgical debridement, and specialized wound care led to the gradual healing of the ulcers. This case highlights the importance of early diagnosis and intervention to prevent infection spread and progression to systemic aspergillosis or septic shock.",A. flavus; fungal infection; invasive aspergillosis; primary cutaneous aspergillosis,,Infection and drug resistance,2026
41858896,"Skeletal muscle metabolism in health and disease: Mechanisms, interventions, and clinical perspectives.","Skeletal muscle is a vital metabolic organ that regulates systemic energy homeostasis by coordinating glucose uptake, fatty acid oxidation, and amino acid metabolism. Its remarkable capacity for dynamic adaptation, termed metabolic flexibility, underpins physical performance and protects against metabolic diseases such as obesity, type 2 diabetes, and sarcopenia. This review provides an integrative synthesis of the molecular and signaling networks that orchestrate skeletal muscle metabolism, focusing on key regulators including insulin, AMPK, mTOR, and PGC-1α. We also examine how disruptions in these pathways lead to mitochondrial dysfunction, lipid dysregulation, and muscle wasting. We explore the therapeutic landscape across pharmacological, exercise-based, and nutritional interventions, emphasizing mitochondrial-targeted strategies and myokine-mediated communication as emerging modalities for restoring metabolic resilience. Additionally, we emphasize the growing importance of multi-omics technologies and inter-tissue communication in improving mechanistic understanding and advancing precision medicine. This review integrates mechanistic, translational, and clinical perspectives to underscore the importance of a systems-level approach to skeletal muscle metabolism. This approach is essential for developing targeted, multidimensional therapies aimed at enhancing metabolic health and extending healthspan.",endocrinology; health sciences; medical specialty; medicine,,iScience,2026
41858893,"Beyond bones, vitamin D as a sunshine hormone in type 2 diabetes mellitus and its complications.","The aim of this review is to thoroughly examine the intricate connection between vitamin D and type 2 diabetes mellitus. A detailed investigation of the potential role of vitamin D in the onset, prevention, and management of type 2 diabetes mellitus was conducted through an extensive review of the available literature and relevant research findings. Numerous studies have indicated that vitamin D contributes significantly to maintaining the metabolic balance of calcium and phosphorus and supporting bone health while potentially affecting the development and incidence of diabetes via various mechanisms. Nevertheless, many ambiguities persist regarding the association between vitamin D and diabetes, and further studies are needed to clarify its exact mechanism of action and clinical application value.",health sciences,,iScience,2026
41858883,Obesity mediates the association of outdoor artificial light at night with type 2 diabetes mellitus.,"This study aims to explore the association of outdoor ALAN exposure with T2DM and the mediating effects of obesity in Chinese rural adults. A total of 38,108 participants were recruited from the Henan Rural Cohort. ALAN was positively associated with T2DM and FPG, and negatively associated with insulin, HOMA-IR, as well as HOMA-β, and the effect sizes of per-quartile increase in ALAN were 1.24(1.19, 1.28), 0.14(0.13, 0.16), -1.19(-1.24, -1.14), -0.22(-0.25, -0.20), and -27.30(-29.11, -25.48), respectively. The elderly, men, current smokers, individuals with lower education or income, or physical inactivity were more vulnerable to ALAN-related adverse health effects. The associations of ALAN with T2DM and glucose metabolism were mediated by WC, BMI, WHtR, WHR, VFI, and BFP, with estimated mediation proportions of 36.41%, 25.14%, 33.98%, 22.33%, 24.39%, and 25.85%, respectively, for T2DM. These findings emphasize the need for targeted public health interventions for reducing ALAN-related adverse health effects in rural areas.",Health sciences,,iScience,2026
41858863,From glycemic instability to neuropathic risk: a propensity score-matched retrospective cohort study.,,continuous glucose monitoring; diabetic peripheral neuropathy; glycemic variability; inflammation; nerve conduction studies; propensity score matching,,Frontiers in endocrinology,2026
41858862,An interpretable machine learning model for detecting vision-threatening diabetic retinopathy among patients with diabetic retinopathy: a web-based cross-sectional study.,,detection model; machine learning; non-vision-threatening retinopathy; shap; type 2 diabetes; vision-threatening diabetic retinopathy,,Frontiers in endocrinology,2026
41858861,Clinical characteristics of type 2 diabetes mellitus patients with erectile dysfunction.,,anxiety; clinical features; depression; erectile dysfunction; type 2 diabetes mellitus,,Frontiers in endocrinology,2026
41858857,"Mind-body exercise for improving balance, aerobic capacity, walking ability, muscle strength, and mental health in patients with type 2 diabetes: a network meta-analysis.",,Network meta-analysis; Tai chi; mind–body exercise; pilates; qigong; type 2 diabetes mellitus; yoga,,Frontiers in endocrinology,2026
41858852,Determinants and predictive performance of reduced muscle mass in elderly patients with type 2 diabetes: a retrospective study.,,discriminatory power; risk factors; sarcopenia; skeletal muscle mass; type 2 diabetes mellitus,,Frontiers in endocrinology,2026
41858808,Metabolic Syndrome and Low Back Pain: Evidence from Cross-Sectional and Mendelian Randomization Analysis.,,NHANES; epidemiology; low back pain; mendelian randomization; metabolic syndrome,,Journal of pain research,2026
41858776,DNA2 acts as a brake on β cell insulin hypersecretion and diet-induced metabolic dysfunction.,,DNA2; hyperinsulinemia; insulin secretion; mitochondrial activity; β cell proliferation,,Frontiers in cell and developmental biology,2026
41858722,Linear Inverse Association Between Triglyceride Glucose-Body Mass Index and Osteoporosis in Patients with Type 2 Diabetes Mellitus: A Cross-Sectional Study.,,insulin resistance; osteoporosis; triglyceride glucose-body mass index; triglyceride-glucose index; type 2 diabetes mellitus,,"Diabetes, metabolic syndrome and obesity : targets and therapy",2026
41858721,Association of the Triglyceride Glucose Index and Epicardial Adipose Tissue with Type 2 Diabetes Mellitus Complicated by Coronary Atherosclerotic Heart Disease.,,coronary atherosclerotic heart disease; epicardial adipose tissue; triglyceride glucose index; type 2 diabetes mellitus,,"Diabetes, metabolic syndrome and obesity : targets and therapy",2026
41858720,Development of a Glycated Albumin-Based Algorithm to Evaluate Diabetic Retinopathy in Adults with Type 2 Diabetes: A Cross-Sectional Study at a Hospital-Affiliated Physical Examination Center.,,diabetic retinopathy; glycated albumin; machine learning algorithm,,"Diabetes, metabolic syndrome and obesity : targets and therapy",2026
41858639,CT-Based Visual Atherosclerosis Education Improves Secondary Prevention Adherence: A Retrospective Cohort Study Using Cluster Analysis.,,atherosclerosis secondary prevention; cardiovascular risk factors; health literacy; medication adherence; visual health education,,Patient preference and adherence,2026
